"cell_line","pooled_dilution_DMSO","pooled_dilution_Thg","pooled_dilution_Tun","Tun_growth_only_light_retention_factor","Thg_growth_only_light_retention_factor","Tun_growth_only_light_offset_log2","Thg_growth_only_light_offset_log2","Tun_light_correction_multiplier","Thg_light_correction_multiplier","Tun_light_correction_log2","Thg_light_correction_log2"
"PERK_KO",0.721467165594771,0.7472288669955,0.748405955358249,1.03733889918784,1.03570737883753,0.0528873004215357,0.0506164521250677,0.964005110367431,0.965523680175376,-0.0528873004215358,-0.0506164521250678
"WT",0.594072755459632,0.769417039147193,0.729485247656359,1.22793923968447,1.29515624488098,0.296239175712488,0.373126152056764,0.814372541964665,0.772107615550198,-0.296239175712488,-0.373126152056764
